,Output,Time
384,0,2018-04-24 20:41
385,0,2018-04-24 20:41
386,0,2018-04-24 20:41
387,0,2018-04-24 20:41
388,0,2018-04-24 20:41
389,0,2018-04-24 20:41
390,0,2018-04-24 20:41
391,0,2018-04-24 20:41
392,0,2018-04-24 20:41
393,0,2018-04-24 20:41
394,0,2018-04-24 20:41
395,0,2018-04-24 20:41
396,0,2018-04-24 20:41
397,0,2018-04-24 20:41
398,0,2018-04-24 20:41
399,0,2018-04-24 20:41
400,0,2018-04-24 20:41
401,0,2018-04-24 20:41
402,0,2018-04-24 20:41
403,0,2018-04-24 20:41
404,0,2018-04-24 20:41
405,0,2018-04-24 20:41
406,0,2018-04-24 20:41
407,0,2018-04-24 20:41
408,0,2018-04-24 20:41
409,0,2018-04-24 20:41
410,0,2018-04-24 20:41
411,0,2018-04-24 20:41
412,0,2018-04-24 20:41
413,0,2018-04-24 20:41
414,0,2018-04-24 20:41
415,0,2018-04-24 20:41
416,0,2018-04-24 20:41
417,0,2018-04-24 20:41
418,0,2018-04-24 20:41
419,0,2018-04-24 20:41
420,0,2018-04-24 20:41
421,0,2018-04-24 20:41
422,0,2018-04-24 20:41
423,0,2018-04-24 20:41
424,0,2018-04-24 20:41
425,0,2018-04-24 20:41
426,0,2018-04-24 20:41
427,0,2018-04-24 20:41
428,0,2018-04-24 20:41
429,0,2018-04-24 20:41
430,0,2018-04-24 20:41
431,0,2018-04-24 20:41
432,0,2018-04-24 20:41
433,0,2018-04-24 20:41
434,0,2018-04-24 20:41
435,0,2018-04-24 20:41
436,0,2018-04-24 20:41
437,0,2018-04-24 20:41
438,0,2018-04-24 20:41
439,0,2018-04-24 20:41
440,0,2018-04-24 20:41
441,0,2018-04-24 20:41
442,0,2018-04-24 20:41
443,0,2018-04-24 20:41
444,0,2018-04-24 20:41
445,0,2018-04-24 20:41
446,0,2018-04-24 20:41
447,0,2018-04-24 20:41
448,0,2018-04-24 20:41
449,0,2018-04-24 20:41
450,0,2018-04-24 20:41
451,0,2018-04-24 20:41
452,0,2018-04-24 20:41
453,0,2018-04-24 20:41
454,0,2018-04-24 20:41
455,0,2018-04-24 20:41
456,0,2018-04-24 20:41
457,0,2018-04-24 20:41
458,0,2018-04-24 20:41
459,0,2018-04-24 20:41
460,0,2018-04-24 20:41
461,0,2018-04-24 20:41
462,0,2018-04-24 20:41
463,0,2018-04-24 20:41
464,0,2018-04-24 20:41
465,0,2018-04-24 20:41
466,0,2018-04-24 20:41
467,0,2018-04-24 20:41
468,0,2018-04-24 20:41
469,0,2018-04-24 20:41
470,0,2018-04-24 20:41
471,0,2018-04-24 20:41
472,0,2018-04-24 20:41
473,0,2018-04-24 20:41
474,0,2018-04-24 20:41
475,0,2018-04-24 20:41
476,0,2018-04-24 20:41
477,0,2018-04-24 20:41
478,0,2018-04-24 20:41
479,0,2018-04-24 20:41
480,0,2018-04-24 20:41
481,0,2018-04-24 20:41
482,0,2018-04-24 20:41
483,0,2018-04-24 20:41
484,0,2018-04-24 20:41
485,0,2018-04-24 20:41
486,0,2018-04-24 20:41
487,0,2018-04-24 20:41
488,0,2018-04-24 20:41
489,0,2018-04-24 20:41
490,0,2018-04-24 20:41
491,0,2018-04-24 20:41
492,0,2018-04-24 20:41
493,0,2018-04-24 20:41
494,0,2018-04-24 20:41
495,0,2018-04-24 20:41
496,0,2018-04-24 20:41
497,0,2018-04-24 20:41
498,0,2018-04-24 20:41
499,0,2018-04-24 20:41
500,0,2018-04-24 20:41
501,0,2018-04-24 20:41
502,0,2018-04-24 20:41
503,0,2018-04-24 20:41
504,0,2018-04-24 20:41
505,0,2018-04-24 20:41
506,0,2018-04-24 20:41
507,0,2018-04-24 20:41
508,0,2018-04-24 20:41
509,0,2018-04-24 20:41
510,0,2018-04-24 20:41
